,Auctions,Average unique bidders
102,5ab1w,12.0
103,fx4nt,0.6666666666666666
104,v72rk,8.666666666666666
105,iobq6,0.6666666666666666
106,8jvkd,0.3333333333333333
107,k2kyf,0.3333333333333333
108,8l8yj,32.666666666666664
109,jrmtt,0.3333333333333333
110,4jjck,0.3333333333333333
111,27p4z,7.666666666666667
112,gwob3,8.0
113,b4k7k,4.666666666666667
114,dl1v6,1.3333333333333333
115,xl1lx,0.3333333333333333
116,igupg,10.666666666666666
117,rkl06,16.0
118,l6tsu,1.0
119,28mz9,0.3333333333333333
120,mgr2c,0.3333333333333333
121,pztdv,0.6666666666666666
122,ae9cu,1.6666666666666667
123,iu5e0,1.6666666666666667
124,rfpsc,0.6666666666666666
125,vwd4x,5.0
126,wrz1m,7.0
127,vb4i3,4.0
128,7u60x,16.0
129,cmam2,0.6666666666666666
130,ebrqu,0.6666666666666666
131,crwsw,1.0
132,fzru7,17.333333333333332
133,3a4lb,8.0
134,scdfp,3.6666666666666665
135,yhupk,7.0
136,fn5ar,44.0
137,uemxf,10.666666666666666
138,e6qvd,4.666666666666667
139,4dumn,3.0
140,kjqdg,0.3333333333333333
141,z51fk,38.333333333333336
142,ag9et,34.666666666666664
143,b3roq,0.3333333333333333
144,nhog2,2.3333333333333335
145,eqlkd,17.0
146,zx5nm,5.0
147,lmd0y,2.0
148,j49em,0.3333333333333333
149,9jykv,0.6666666666666666
150,z06po,4.333333333333333
151,mqgq9,5.0
152,l0t44,14.333333333333334
153,15hbf,4.333333333333333
154,1d9lx,9.666666666666666
155,ebgws,2.0
156,wg8x8,4.333333333333333
157,xkm9h,0.3333333333333333
158,3j32v,4.333333333333333
159,6swh5,3.6666666666666665
160,2rzxk,84.66666666666667
161,chudo,0.3333333333333333
162,i5uv7,1.6666666666666667
163,4e47l,1.3333333333333333
164,c00jc,0.3333333333333333
165,q1ymg,16.0
166,nsf0c,9.0
167,uukle,7.333333333333333
168,8aolm,1.0
169,hy6yk,18.333333333333332
170,s85gs,4.0
171,9lgb6,14.0
172,g7w81,2.0
173,6qsk9,5.0
174,peyvf,6.333333333333333
175,ea47y,3.6666666666666665
176,4d838,5.0
177,j6kgn,1.3333333333333333
178,run9d,7.333333333333333
179,nbsxw,1.0
180,1l64e,49.0
181,dhc3v,2.3333333333333335
182,4pqmb,5.0
183,6iiod,1.3333333333333333
184,w0pzj,10.333333333333334
185,772d7,14.666666666666666
186,i024c,24.0
187,s37ve,6.333333333333333
188,0p61l,4.333333333333333
189,9gv0e,7.333333333333333
190,it95n,1.0
191,en6rl,0.3333333333333333
192,7lcfl,1.6666666666666667
193,rluiz,3.6666666666666665
194,nawje,4.666666666666667
195,fikpe,1.0
196,nk11k,13.0
197,0ccyb,6.0
198,ra2if,8.333333333333334
199,8r6dz,0.3333333333333333
200,cbbfg,5.333333333333333
201,jydbp,0.3333333333333333
202,m6rot,7.666666666666667
203,6ian6,1.0
204,9jw2w,1.0
205,vyavv,12.333333333333334
206,xjpxr,25.333333333333332
207,dfxm4,4.333333333333333
208,c1p7s,5.666666666666667
209,0wwiu,24.666666666666668
210,j7k4h,3.3333333333333335
211,lcido,2.3333333333333335
212,ay3m5,1.3333333333333333
213,bjbjb,0.3333333333333333
214,mfq3q,30.333333333333332
215,6mwwp,1.6666666666666667
216,qz417,0.6666666666666666
217,2x8nj,0.6666666666666666
218,l2cgg,2.3333333333333335
219,5vlfc,2.6666666666666665
220,y0rka,15.666666666666666
221,164tv,40.333333333333336
222,xos6r,6.666666666666667
223,1gsqr,0.3333333333333333
224,9utmy,0.3333333333333333
225,ai0zr,1.0
226,91qrt,0.3333333333333333
227,wj9e8,1.3333333333333333
228,0s731,71.33333333333333
229,74by5,5.666666666666667
230,cz68i,0.3333333333333333
231,nefth,0.3333333333333333
232,v9jfx,4.333333333333333
233,pbb0f,0.3333333333333333
234,el52b,56.0
235,vnwd1,2.0
236,vhmlk,3.3333333333333335
237,gma4y,1.3333333333333333
238,vbdl5,1.3333333333333333
239,0zkrb,1.3333333333333333
240,3a99h,0.3333333333333333
241,a2yys,1.6666666666666667
242,epu7d,1.0
243,zxnby,3.0
244,t3g0w,2.0
245,lyzeh,0.3333333333333333
246,y30jv,3.3333333333333335
247,otd8h,3.0
248,9p9vr,2.6666666666666665
249,vnipz,0.6666666666666666
250,uya4q,5.333333333333333
251,dp898,9.333333333333334
252,qonnl,9.666666666666666
253,mea8g,1.6666666666666667
254,kzplm,0.6666666666666666
255,wceo9,21.666666666666668
256,s5xl5,3.0
257,zvoj9,3.0
258,a32km,3.6666666666666665
259,wftf2,3.3333333333333335
260,i1ecw,6.333333333333333
261,c9itf,2.0
262,f20qe,0.6666666666666666
263,ii5g0,8.333333333333334
264,hndcs,3.6666666666666665
265,2n3xc,32.666666666666664
266,gsu1l,6.333333333333333
267,2lvsn,12.0
268,t35e5,0.3333333333333333
269,nsqnh,1.0
270,zbvks,24.0
271,pp5hs,1.3333333333333333
272,ydtvd,14.333333333333334
273,sskux,0.3333333333333333
274,1eci3,0.3333333333333333
275,todvj,12.333333333333334
276,yq8zu,0.6666666666666666
277,kzju6,1.0
278,nzb3g,12.333333333333334
279,of74y,1.3333333333333333
280,vwvvj,24.666666666666668
281,et6v2,1.3333333333333333
282,zyim9,0.6666666666666666
283,ushtw,1.0
284,boegs,100.66666666666667
285,99wix,21.666666666666668
286,wj464,17.0
287,slwqk,5.666666666666667
288,ahxl0,62.0
289,w2c2k,2.6666666666666665
290,be0lx,14.0
291,g450p,1.3333333333333333
292,u5n97,14.666666666666666
293,nki0f,1.3333333333333333
294,vlsk4,12.0
295,kexqk,16.666666666666668
296,iamyi,17.333333333333332
297,8ejgj,0.6666666666666666
298,c2siq,0.3333333333333333
299,cx11x,4.0
300,9hpis,1.0
301,tclcc,0.3333333333333333
302,4o0hv,0.6666666666666666
303,ijg4j,0.6666666666666666
304,ynt25,0.6666666666666666
305,50sz8,0.3333333333333333
306,oqz76,0.3333333333333333
307,hsitf,35.0
308,6w2af,7.333333333333333
309,qla9e,60.333333333333336
310,n64f5,5.0
311,23p0o,53.666666666666664
312,gl2rh,2.6666666666666665
313,pnj5m,5.666666666666667
314,0fcrk,4.0
315,ywlx6,6.666666666666667
316,64uay,2.6666666666666665
317,x9w4p,1.3333333333333333
318,kuk66,0.3333333333333333
319,fm1vk,7.333333333333333
320,7putl,2.6666666666666665
321,3tw7e,20.666666666666668
322,be0qd,3.0
323,ui8v3,2.0
324,dm815,1.3333333333333333
325,slnsu,0.6666666666666666
326,807lo,0.3333333333333333
327,rek63,4.0
328,klldn,4.333333333333333
329,lkms8,28.666666666666668
330,3ab6i,5.0
331,xafu0,4.666666666666667
332,r6m9z,0.3333333333333333
333,u8j4c,1.3333333333333333
334,p5cgl,0.6666666666666666
335,jbymh,1.0
336,g0tgk,0.6666666666666666
337,r1wfm,12.333333333333334
338,p7noc,0.3333333333333333
339,jxsor,5.666666666666667
340,e844h,2.3333333333333335
341,dfr79,12.666666666666666
342,c4516,4.333333333333333
343,k5e1s,44.666666666666664
344,bndnz,0.3333333333333333
345,f6fez,1.3333333333333333
346,sixzh,14.666666666666666
347,dlrk5,3.0
348,fvhks,13.0
349,9ztt5,1.3333333333333333
350,c4845,0.3333333333333333
351,n0hru,10.333333333333334
352,i9sur,0.3333333333333333
353,eyvo7,3.0
354,tt3h6,9.333333333333334
355,b4o0z,0.3333333333333333
356,vk3vz,2.0
357,bpgtw,18.666666666666668
358,c79wh,1.0
359,8bvee,1.3333333333333333
360,7ussq,0.6666666666666666
361,sv5zc,3.3333333333333335
362,jatzg,2.3333333333333335
363,qqstk,5.333333333333333
364,sc1cr,9.333333333333334
365,8en3h,70.33333333333333
366,mr22w,11.666666666666666
367,wicy8,20.0
368,r5zrt,6.333333333333333
369,x9fqt,59.666666666666664
370,2sykt,0.3333333333333333
371,rgejo,3.0
372,j2wv9,1.0
373,thjll,3.3333333333333335
374,boai4,9.0
375,n11ab,2.3333333333333335
376,b2vqo,0.3333333333333333
377,3cj0i,2.3333333333333335
378,evid8,2.6666666666666665
379,iuqm4,1.0
380,lfz7h,85.66666666666667
381,3dxjm,3.0
382,7x2w0,12.333333333333334
383,6wh3p,11.666666666666666
384,4dmf0,1.3333333333333333
385,thyqa,12.333333333333334
386,eywtr,0.6666666666666666
387,niqg0,8.333333333333334
388,cqlqk,3.3333333333333335
389,5ch1i,17.333333333333332
390,hxcp7,0.6666666666666666
391,ov9ql,4.666666666666667
392,kmoh2,0.3333333333333333
393,kd9fi,1.0
394,mmby1,8.666666666666666
395,j41vb,11.0
396,i43ya,1.3333333333333333
397,7yccr,1.3333333333333333
398,u6jx8,2.0
399,66oxq,0.6666666666666666
400,o73xg,4.0
401,somzk,0.6666666666666666
402,h7ssk,19.333333333333332
403,2e9wj,1.6666666666666667
404,d4az5,0.6666666666666666
405,tr0r5,1.6666666666666667
406,kx4v1,0.3333333333333333
407,1hzhy,15.666666666666666
408,9mb8s,0.3333333333333333
409,zhnzd,1.0
410,pbsqg,14.0
411,u2ei2,4.333333333333333
412,jlmqm,0.3333333333333333
413,8g7ln,0.6666666666666666
414,vgdpu,0.3333333333333333
415,02mb5,1.6666666666666667
416,tfxr9,0.3333333333333333
417,iz66o,1.3333333333333333
418,0nlte,8.333333333333334
419,n4cit,3.6666666666666665
420,4s9ut,102.0
421,urnum,0.6666666666666666
422,tbrjn,5.333333333333333
423,e6t4z,0.6666666666666666
424,leed5,6.666666666666667
425,bpdta,5.666666666666667
426,zmrbr,9.333333333333334
427,sp308,1.0
428,vvvow,1.3333333333333333
429,dbdr0,34.333333333333336
430,kvxcv,2.6666666666666665
431,da756,0.6666666666666666
432,0rfbz,23.0
433,2a3q8,10.0
434,adr2z,2.6666666666666665
435,128vs,12.666666666666666
436,wsmh2,5.333333333333333
437,wsvkt,4.333333333333333
438,zjooo,51.666666666666664
439,ukmtd,89.66666666666667
440,z1ujg,5.333333333333333
441,9lzq5,1.0
442,nyr1n,5.333333333333333
443,jcvh9,138.66666666666666
444,7l830,35.0
445,h25xs,4.0
446,exqky,11.666666666666666
447,63zck,1.3333333333333333
448,icbv2,46.0
449,emohf,24.333333333333332
450,30lmj,2.3333333333333335
451,emm20,3.0
452,ezwwl,2.0
453,lu6go,3.6666666666666665
454,kz668,2.3333333333333335
455,1n2uk,13.0
456,8wzx7,1.6666666666666667
457,9br8v,70.66666666666667
458,9ivqb,0.3333333333333333
459,012wh,49.666666666666664
460,7jutr,1.3333333333333333
461,ex89p,7.0
462,kiwvh,9.333333333333334
463,dqgmf,0.6666666666666666
464,9nygf,24.666666666666668
465,ulqe8,6.666666666666667
466,cc5fs,230.66666666666666
467,i6fcb,68.0
468,rmz7s,1.0
469,tndlq,0.6666666666666666
470,e22zi,12.333333333333334
471,q14bb,8.333333333333334
472,rp4kn,54.0
473,lsy4r,2.0
474,fd71m,13.0
475,jt2m8,10.333333333333334
476,koxas,0.3333333333333333
477,osfm1,0.6666666666666666
478,edno9,1.0
479,vrrxk,1.0
480,zcuky,1.6666666666666667
481,4i3gq,3.3333333333333335
482,h7hlu,0.6666666666666666
483,wxtzw,1.3333333333333333
484,ejyup,26.333333333333332
485,nr9x0,2.3333333333333335
486,q47w0,0.6666666666666666
487,7ztrl,1.3333333333333333
488,aiw1a,23.333333333333332
489,rbhgv,1.0
490,0mdpu,5.333333333333333
491,ta0ax,6.0
492,2cp0c,5.666666666666667
493,a85m8,7.0
494,yu8p7,1.3333333333333333
495,q3m77,23.0
496,rtgle,1.3333333333333333
497,k7g6d,0.6666666666666666
498,nudm6,0.6666666666666666
499,a9n3j,10.333333333333334
500,9bpyb,1.6666666666666667
501,tl0dj,4.333333333333333
502,ml2ol,2.3333333333333335
503,1l502,17.0
504,roj49,3.3333333333333335
505,mx4x7,1.0
506,umh3k,4.333333333333333
507,srs6k,0.3333333333333333
508,d9y29,1.6666666666666667
509,tt5kr,183.33333333333334
510,prdot,9.0
511,l9hdo,0.6666666666666666
512,6osbe,1.3333333333333333
513,9l7p5,1.6666666666666667
514,ux0ov,1.0
515,2hkjh,32.0
516,tydl2,1.0
517,1l13a,19.666666666666668
518,5e992,5.333333333333333
519,cszsg,6.666666666666667
520,xowcb,5.666666666666667
521,fxzg9,1.3333333333333333
522,zfp7e,11.333333333333334
523,uslwe,13.333333333333334
524,qnt16,8.333333333333334
525,2jns4,0.3333333333333333
526,7lgl0,1.3333333333333333
527,gj59p,15.0
528,z7b8k,1.0
529,x93p7,19.333333333333332
530,407p7,13.333333333333334
531,8wmee,0.3333333333333333
532,bzlyk,4.333333333333333
533,wnggz,0.3333333333333333
534,44dzk,0.3333333333333333
535,jn7mf,0.3333333333333333
536,stvk5,2.6666666666666665
537,ijru6,2.6666666666666665
538,5nasl,3.0
539,acnwd,9.666666666666666
540,ba1j6,1.3333333333333333
541,75k6u,1.3333333333333333
542,4zic5,1.0
543,xxgcf,1.0
544,xyn0e,9.333333333333334
545,6x429,5.0
546,mmixo,1.3333333333333333
547,o4c97,21.333333333333332
548,nv8jm,1.0
549,yje37,4.0
550,pz89f,1.6666666666666667
551,etren,1.3333333333333333
552,c7oua,1.3333333333333333
553,60gq2,3.6666666666666665
554,e14dq,8.666666666666666
555,3i7yq,1.3333333333333333
556,688vm,5.333333333333333
557,ggt28,0.6666666666666666
558,9azdb,10.666666666666666
559,npkr4,13.0
560,q12dt,1.6666666666666667
561,sshv5,0.3333333333333333
562,z2wi7,2.0
563,0oujt,3.3333333333333335
564,dfrfs,16.666666666666668
565,l1qp0,0.3333333333333333
566,hw5at,5.0
567,ui9zj,4.666666666666667
568,88lyz,0.6666666666666666
569,taf50,5.333333333333333
570,k8imn,3.3333333333333335
571,egghr,1.3333333333333333
572,xstav,66.33333333333333
573,lztev,11.333333333333334
574,i5z0n,5.666666666666667
575,v0evf,30.666666666666668
576,wedcm,6.0
577,dqnuy,2.6666666666666665
578,dmbaj,2.0
579,tjbxy,0.3333333333333333
580,nmwra,20.666666666666668
581,mpy54,0.6666666666666666
582,ukfhj,5.666666666666667
583,scyt7,2.3333333333333335
584,7vao3,24.333333333333332
585,pmu2x,4.333333333333333
586,tl6q9,12.666666666666666
587,fswgu,2.0
588,9ucqf,2.0
589,f3eun,3.3333333333333335
590,iw81c,10.333333333333334
591,j2d2z,0.6666666666666666
592,zlmi4,4.333333333333333
593,f29cn,1.6666666666666667
594,f26j9,1.3333333333333333
595,59shr,0.6666666666666666
596,i1q8t,5.666666666666667
597,df9ul,0.6666666666666666
598,y6jto,12.333333333333334
599,xrrpv,0.6666666666666666
600,z3ck2,2.3333333333333335
601,dftml,0.3333333333333333
602,fcgc3,1.6666666666666667
603,hendt,14.666666666666666
604,rjqk0,17.0
605,b510f,62.666666666666664
606,3gezk,0.3333333333333333
607,l5p2t,36.333333333333336
608,rgbmz,14.333333333333334
609,90m3h,6.666666666666667
610,em8fs,7.333333333333333
611,e3ygt,4.333333333333333
612,bewvr,0.6666666666666666
613,dv6f9,2.6666666666666665
614,qhllq,3.0
615,wf2mp,7.333333333333333
616,dg7ya,1.6666666666666667
617,u8vxq,1.6666666666666667
618,i4npb,31.0
619,8g2rc,0.6666666666666666
620,4qcjv,4.333333333333333
621,ht1wm,1.0
622,774am,2.6666666666666665
623,aorqg,0.6666666666666666
624,0mmqg,4.0
625,eymbx,14.666666666666666
626,ufhg4,5.666666666666667
627,ob9wk,1.0
628,jc89i,0.6666666666666666
629,hxcvo,2.3333333333333335
630,0ch4m,3.6666666666666665
631,64ayr,3.6666666666666665
632,6oj75,24.0
633,086x5,5.666666666666667
634,jnf2o,2.0
635,9wv9o,2.6666666666666665
636,dowem,1.3333333333333333
637,n35qh,2.6666666666666665
638,qycjy,3.0
639,5jfb6,1.6666666666666667
640,zaoa9,8.666666666666666
641,muv7w,4.666666666666667
642,4hagv,0.3333333333333333
643,yfcgf,2.3333333333333335
644,cv9fg,0.3333333333333333
645,qpxkt,1.3333333333333333
646,cshqi,0.3333333333333333
647,lhc9h,3.0
648,psscd,4.0
649,i9ryp,14.666666666666666
650,4oe75,1.3333333333333333
651,r146l,0.3333333333333333
652,vvt9s,3.0
653,9ehxs,0.3333333333333333
654,1pi6h,4.666666666666667
655,pdxjs,0.3333333333333333
656,vmfnf,0.6666666666666666
657,q1bxw,7.333333333333333
658,smx0t,2.6666666666666665
659,w6aoi,36.333333333333336
660,699vb,1.0
661,xzfoc,1.3333333333333333
662,0gblu,3.3333333333333335
663,skb8k,16.666666666666668
664,ct4ag,2.3333333333333335
665,71snx,30.666666666666668
666,zc2p9,2.0
667,xwj0r,0.3333333333333333
668,v9iry,3.6666666666666665
669,4043u,16.666666666666668
670,cmuj5,2.0
671,g8bq6,16.666666666666668
672,i7828,0.3333333333333333
673,kmer2,6.333333333333333
674,xgzyu,1.0
675,enpyh,0.6666666666666666
676,jg06f,2.6666666666666665
677,dm5z8,14.333333333333334
678,rafhl,2.0
679,o6x75,2.0
680,tytky,4.333333333333333
681,vzpnm,1.0
682,wi9h3,2.6666666666666665
683,2nbw9,1.3333333333333333
684,mdqrd,0.6666666666666666
685,msbny,5.666666666666667
686,xkhun,6.0
687,0db3j,0.6666666666666666
688,lmsch,1.3333333333333333
689,x4n84,5.333333333333333
690,xvtev,6.0
691,3vy95,24.333333333333332
692,aioij,4.333333333333333
693,s6buw,0.6666666666666666
694,5un2g,0.3333333333333333
695,zl1ol,85.0
696,7cgze,2.0
697,gkjsh,4.666666666666667
698,lotqc,1.6666666666666667
699,f7ymf,3.0
700,2hdrn,4.333333333333333
701,uqtqo,10.333333333333334
702,gxph2,5.0
703,s3jft,2.3333333333333335
704,fk76d,7.0
705,ykhep,23.333333333333332
706,6y9fi,6.0
707,2j3mq,21.0
708,odmzj,5.666666666666667
709,74q62,2.0
710,n212g,1.3333333333333333
711,6d5ei,3.3333333333333335
712,nqqon,17.0
713,y13za,0.6666666666666666
714,0lm8h,2.6666666666666665
715,ph9c2,0.6666666666666666
716,u60if,0.6666666666666666
717,djpu6,19.333333333333332
718,uo3lj,86.66666666666667
719,bbptc,3.3333333333333335
720,fr1xq,2.0
721,rahwq,2.0
722,dvhn5,3.3333333333333335
723,l48yf,4.666666666666667
724,0ft7d,72.0
725,wawi5,17.666666666666668
726,l8mmd,0.3333333333333333
727,gz4c4,5.0
728,b25ls,136.66666666666666
729,hpqjd,3.0
730,b8uu3,0.6666666666666666
731,7lwv4,6.0
732,f84ih,1.3333333333333333
733,ufqyc,7.0
734,rhcb0,46.0
735,j8xjh,15.0
736,b6c1l,1.3333333333333333
737,wg7x6,0.3333333333333333
738,23ond,7.666666666666667
739,bzvjh,0.6666666666666666
740,5v6lz,5.333333333333333
741,mhk0o,16.0
742,qzp2n,1.0
743,bckue,0.3333333333333333
744,bn9u5,5.0
745,cdora,1.0
746,km71q,2.0
747,1fuid,1.0
748,j3tu8,7.333333333333333
749,v42z1,2.3333333333333335
750,xyadi,3.0
751,ffy8q,2.6666666666666665
752,9ziyw,7.666666666666667
753,iwxjl,1.0
754,of25f,2.3333333333333335
755,ngpoh,3.6666666666666665
756,63a3e,6.333333333333333
757,asxv3,15.333333333333334
758,hiqtv,0.3333333333333333
759,bogmc,0.6666666666666666
760,dzngb,19.666666666666668
761,7cur9,1.6666666666666667
762,gr0u4,31.666666666666668
763,0xonb,1.0
764,qkf9g,6.333333333333333
765,ejsy0,1.3333333333333333
766,302b7,3.0
767,uub6b,3.6666666666666665
768,y9cms,2.3333333333333335
769,najuo,58.666666666666664
770,bwm7x,0.6666666666666666
771,zz1cb,1.0
772,zcfcf,0.3333333333333333
773,zaihx,6.333333333333333
774,usqk4,4.666666666666667
775,4qb8z,11.333333333333334
776,yrr5w,6.0
777,wcg23,3.0
778,0leo6,6.333333333333333
779,nmq1m,2.3333333333333335
780,5cunz,25.666666666666668
781,hp4xc,4.666666666666667
782,rra74,2.0
783,qmbsc,57.0
784,cs1oe,0.3333333333333333
785,6ynqo,1.3333333333333333
786,55kvf,4.0
787,kgtwh,2.0
788,c6pc3,0.6666666666666666
789,o7tsy,10.333333333333334
790,6kegp,13.333333333333334
791,mohyu,2.6666666666666665
792,78zv5,2.0
793,tzu68,11.0
794,lp04l,0.3333333333333333
795,wberf,1.3333333333333333
796,v0nrt,0.3333333333333333
797,ltkp8,7.333333333333333
798,d87yw,3.0
799,5wt1g,1.3333333333333333
800,7usrn,3.0
801,nqdcj,1.3333333333333333
802,yuv0v,8.666666666666666
803,t0nea,0.3333333333333333
804,ch45f,9.666666666666666
805,w4hfn,2.6666666666666665
806,cdgov,3.3333333333333335
807,7f4en,1.3333333333333333
808,twr43,7.666666666666667
809,lrl91,5.0
810,oik4s,1.0
811,g3jwr,0.3333333333333333
812,rceko,1.6666666666666667
813,z7hn9,2.6666666666666665
814,fnyum,21.0
815,s1tt4,0.6666666666666666
816,we5su,0.6666666666666666
817,bstkx,8.333333333333334
818,91n6p,4.333333333333333
819,06c0o,0.3333333333333333
820,3zuwz,24.333333333333332
821,nipcn,76.66666666666667
822,f4shy,4.333333333333333
823,pzncx,4.333333333333333
824,msm32,4.333333333333333
825,ryp4f,10.0
826,95h9r,5.666666666666667
827,iuhy4,2.0
828,d8frk,11.333333333333334
829,ua99c,1.0
830,yhum9,13.333333333333334
831,u4n2h,1.3333333333333333
832,uzllk,3.3333333333333335
833,bzncd,30.666666666666668
834,b3ia7,1.3333333333333333
835,nu2xo,7.666666666666667
836,7dwuu,32.0
837,4nxa1,2.3333333333333335
838,49tlu,1.0
839,vumvl,0.3333333333333333
840,m2nlx,4.333333333333333
841,2tdw2,16.0
842,t8mcz,6.0
843,7uogh,10.666666666666666
844,zsafb,36.333333333333336
845,rzhc8,0.6666666666666666
846,18dod,0.6666666666666666
847,9st67,4.333333333333333
848,6c160,2.6666666666666665
849,k9200,9.666666666666666
850,e38pm,9.333333333333334
851,f0yvz,104.66666666666667
852,49mha,1.0
853,us5v7,0.3333333333333333
854,fbsz2,11.333333333333334
855,wznt6,8.0
856,2s5lo,15.0
857,r3keg,1.0
858,fqcrn,76.66666666666667
859,6us51,5.333333333333333
860,bsijt,1.6666666666666667
861,3qcti,1.0
862,8xbmr,0.3333333333333333
863,r00ae,4.333333333333333
864,fzie5,1.0
865,p07a3,3.0
866,u5e2t,17.0
867,39r02,9.333333333333334
868,55y7n,83.0
869,8e6c7,1.6666666666666667
870,596fl,4.0
871,lfymf,0.3333333333333333
872,n68mr,8.0
873,dfpo0,0.6666666666666666
874,65mfl,3.6666666666666665
875,tg0wy,104.66666666666667
876,xkq65,19.0
877,k6t1b,76.33333333333333
878,txdi9,0.3333333333333333
879,0sir0,0.3333333333333333
880,xu187,2.6666666666666665
881,28dgm,44.666666666666664
882,b3lci,10.0
883,alvm5,7.666666666666667
884,vzvm7,26.333333333333332
885,kqw03,3.0
886,o7cl8,3.0
887,8an3w,16.0
888,zky00,3.0
889,rir9y,34.333333333333336
890,6oh3d,5.0
891,tb7qx,0.3333333333333333
892,2tizv,15.0
893,b1e0e,2.3333333333333335
894,ups23,12.333333333333334
895,86mid,52.0
896,o0sdk,36.333333333333336
897,n90pd,8.333333333333334
898,ekodf,31.666666666666668
899,mkxhh,48.0
900,r02n3,7.0
901,torbm,2.6666666666666665
902,nhf4w,1.0
903,7vwq7,1.6666666666666667
904,u4t9g,0.3333333333333333
905,tpm0e,2.3333333333333335
906,f2xyj,4.0
907,da9yt,1.3333333333333333
908,hv64w,0.6666666666666666
909,g1r6n,1.0
910,6qn88,13.333333333333334
911,pzksk,1.0
912,8l0hr,17.0
913,gcjxn,1.3333333333333333
914,th3je,0.6666666666666666
915,6repq,1.3333333333333333
916,tmano,77.0
917,d6yyv,4.666666666666667
918,ag7kg,0.3333333333333333
919,dzv78,7.333333333333333
920,e3yh9,37.666666666666664
921,ia3uf,32.333333333333336
922,oigjm,39.333333333333336
923,buiqh,2.3333333333333335
924,7puev,1.3333333333333333
925,xplpc,76.66666666666667
926,zp1we,11.666666666666666
927,t3cnu,8.333333333333334
928,4v4k3,7.0
929,7vz3e,0.3333333333333333
930,tmt7y,4.0
931,uegvv,0.3333333333333333
932,fa2ec,1.0
933,p3qpl,1.3333333333333333
934,jl492,3.0
935,cw07r,1.6666666666666667
936,xe3vv,0.3333333333333333
937,g7tnh,0.6666666666666666
938,ezm6u,2.0
939,p6o4x,1.0
940,ejmbq,0.3333333333333333
941,vq0rf,0.6666666666666666
942,72ygv,65.0
943,dxcog,0.3333333333333333
944,a94hb,4.333333333333333
945,rgsdx,2.3333333333333335
946,ofch2,2.0
947,y7k8h,3.0
948,cuvvn,3.3333333333333335
949,bzgi0,17.0
950,ql6ks,1.0
951,tr3w8,1.3333333333333333
952,n9mfu,1.6666666666666667
953,zb15k,2.0
954,rju13,4.0
